#,Event,Date,Venue,Location,Attendance,url,fight_odds_url,fight_odds_url_2
640,UFC 286: Edwards vs. Usman 3,2023-03-18,The O2 Arena,"London, England, UK","17,588",https://en.wikipedia.org/wiki/UFC_286,https://www.bestfightodds.com/events/ufc-286-2746,
639,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11,The Theater at Virgin Hotels,"Las Vegas, Nevada, U.S.","2,361",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Yan_vs._Dvalishvili,https://www.bestfightodds.com/events/ufc-fight-night-220-2709,
638,UFC 285: Jones vs. Gane,2023-03-04,T-Mobile Arena,"19,471",[91],https://en.wikipedia.org/wiki/UFC_285,https://www.bestfightodds.com/events/ufc-285-2738,
637,UFC Fight Night: Muniz vs. Allen,2023-02-25,UFC Apex,—,[92],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Muniz_vs._Allen,https://www.bestfightodds.com/events/ufc-fight-night-219-2700,
636,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,[93],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Andrade_vs._Blanchfield,https://www.bestfightodds.com/events/ufc-fight-night-218-2666,
635,UFC 284: Makhachev vs. Volkanovski,2023-02-12,RAC Arena,"Perth, Australia","14,124",https://en.wikipedia.org/wiki/UFC_284,https://www.bestfightodds.com/events/ufc-284-makhachev-vs-volkanovski-2710,
634,UFC Fight Night: Lewis vs. Spivac,2023-02-04,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Spivac,https://www.bestfightodds.com/events/ufc-fight-night-lewis-vs-spivak-2747,
633,UFC 283: Teixeira vs. Hill,2023-01-21,Jeunesse Arena,"Rio de Janeiro, Brazil","13,604",https://en.wikipedia.org/wiki/UFC_283,https://www.bestfightodds.com/events/ufc-283-2635,
632,UFC Fight Night: Strickland vs. Imavov,2023-01-14,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Strickland_vs._Imavov,https://www.bestfightodds.com/events/ufc-fight-night-217-2632,
631,UFC Fight Night: Cannonier vs. Strickland,2022-12-17,[98],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cannonier_vs._Strickland,https://www.bestfightodds.com/events/ufc-fight-night-214-2607,
630,UFC 282: Błachowicz vs. Ankalaev,2022-12-10,T-Mobile Arena,"18,455",[99],https://en.wikipedia.org/wiki/UFC_282,https://www.bestfightodds.com/events/ufc-282-2621,
629,UFC on ESPN: Thompson vs. Holland,2022-12-03,Kia Center,"Orlando, Florida, U.S.","17,065",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Thompson_vs._Holland,https://www.bestfightodds.com/events/ufc-fight-night-215-2633,
628,UFC Fight Night: Nzechukwu vs. Cuțelaba,2022-11-19,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Nzechukwu_vs._Cu%C8%9Belaba,https://www.bestfightodds.com/events/ufc-fight-night-214ting-championship-2612,
627,UFC 281: Adesanya vs. Pereira,2022-11-12,Madison Square Garden,"New York, New York, U.S.","20,845",https://en.wikipedia.org/wiki/UFC_281,https://www.bestfightodds.com/events/ufc-281-2529,
626,UFC Fight Night: Rodriguez vs. Lemos,2022-11-05,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rodriguez_vs._Lemos,https://www.bestfightodds.com/events/ufc-fight-night-213-2606,
625,UFC Fight Night: Kattar vs. Allen,2022-10-29,[104],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Kattar_vs._Allen,https://www.bestfightodds.com/events/ufc-281-2586,
624,UFC 280: Oliveira vs. Makhachev,2022-10-22,Etihad Arena,"Abu Dhabi, United Arab Emirates","13,400",https://en.wikipedia.org/wiki/UFC_280,https://www.bestfightodds.com/events/ufc-fight-night-212-2579,
623,UFC Fight Night: Grasso vs. Araújo,2022-10-15,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Grasso_vs._Ara%C3%BAjo,https://www.bestfightodds.com/events/ufc-vegas-57-2489,
622,UFC Fight Night: Dern vs. Yan,2022-10-01,[107],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dern_vs._Yan,https://www.bestfightodds.com/events/ufc-fight-night-211-2569,
621,UFC Fight Night: Sandhagen vs. Song,2022-09-17,[108],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Sandhagen_vs._Song,https://www.bestfightodds.com/events/ufc-fight-night-211-2441,
620,UFC 279: Diaz vs. Ferguson,2022-09-10,T-Mobile Arena,"19,125",[109],https://en.wikipedia.org/wiki/UFC_279,https://www.bestfightodds.com/events/ufc-279-2541,
619,UFC Fight Night: Gane vs. Tuivasa,2022-09-03,Accor Arena,"Paris, France","15,405",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gane_vs._Tuivasa,https://www.bestfightodds.com/events/ufc-fight-night-gane-vs-tuivasa-2518,
618,UFC 278: Usman vs. Edwards 2,2022-08-20,Vivint Arena,"Salt Lake City, Utah, U.S.","18,321",https://en.wikipedia.org/wiki/UFC_278,https://www.bestfightodds.com/events/ufc-278-usman-vs-edwards-2-2545,
617,UFC on ESPN: Vera vs. Cruz,2022-08-13,Pechanga Arena,"San Diego, California, U.S.","12,804",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Vera_vs._Cruz,https://www.bestfightodds.com/events/ufc-fight-night-vera-vs-cruz-2552,
616,UFC on ESPN: Santos vs. Hill,2022-08-06,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Santos_vs._Hill,https://www.bestfightodds.com/events/ufc-on-espn-santos-vs-hill-2534,
615,UFC 277: Peña vs. Nunes 2,2022-07-30,American Airlines Center,"Dallas, Texas, U.S.","19,442",https://en.wikipedia.org/wiki/UFC_277,https://www.bestfightodds.com/events/ufc-277-pena-vs-nunes-2-2517,
614,UFC Fight Night: Blaydes vs. Aspinall,2022-07-23,The O2 Arena,"London, England, UK","17,813",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._Aspinall,https://www.bestfightodds.com/events/ufc-fight-night-blaydes-vs-aspinall-2519,
613,UFC on ABC: Ortega vs. Rodríguez,2022-07-16,UBS Arena,"Hempstead, New York, U.S.","16,979",https://en.wikipedia.org/wiki/UFC_on_ABC:_Ortega_vs._Rodr%C3%ADguez,https://www.bestfightodds.com/events/ufc-on-abc-ortega-vs-rodriguez-2524,
